index,ID_UEV,postal_code,tract,street_name,street_number
44454,5009987,H2L 2T1,49.0,rue De Champlain  (MTL),2211
45248,1027003,H2L 3X9,144.0,rue Saint-André  (MTL),3994
47328,5259063,H2L 3L9,50.0,rue Ontario Est  (MTE+MTL),1125
48042,5071360,H2L 3G4,50.0,rue Beaudry  (MTL),2091
48939,5208375,H2L 3X6,144.0,rue Saint-Christophe  (MTL),3823
49399,5150213,H2L 4A1,143.0,rue Cherrier  (MTL),555
55380,5218142,H2L 3Z9,144.0,rue Saint-Christophe  (MTL),3764
59704,1026904,H2L 3Z8,144.0,rue Saint-Hubert  (MTL),3431
62024,1029114,H2J 3R5,147.0,rue Garnier  (MTL),4342
64854,1029110,H2J 3R5,147.0,rue Garnier  (MTL),4330
66528,1117903,H2K 3Y9,48.0,rue de Bordeaux  (MTL),2294
71808,1017945,H2J 3M2,146.0,rue Chambord  (MTL),4268
72691,1026875,H2L 3Z9,144.0,rue Saint-Hubert  (MTL),3721
72864,5205492,H2L 1K3,51.0,rue Sherbrooke Est  (MTE+MTL),828
74359,1031902,H2H 1P8,148.0,avenue De Lorimier  (MTL),4230
78671,1108651,H2L 4A6,144.0,rue Saint-Hubert  (MTL),3991
79017,5017094,H2K 3X5,150.0,avenue De Lorimier  (MTL),3443
84706,2165400,H2J 3T6,147.0,rue Fabre  (MTL),4314
84863,1017937,H2J 3M3,146.0,rue Chambord  (MTL),4246
86278,1016731,H2L 3Y1,142.0,rue Saint-André  (MTL),4082
86452,5027933,H2K 3V7,150.0,avenue des Érables  (MTL),4010
87190,2168185,H2J 3R7,147.0,rue Garnier  (MTL),4289
87881,2166119,H2H 1R1,151.0,avenue De Lorimier  (MTL),4219
89290,1032229,H2L 3E1,49.0,rue de la Visitation  (MTL),2181
89708,1027672,H2L 1J1,144.0,rue Cherrier  (MTL),913
90800,5086920,H2L 1C3,144.0,rue Saint-André  (MTL),3868
90867,5004808,H2L 3A4,49.0,rue Panet  (MTL),2033
91150,5066248,H2J 2E1,147.0,avenue Papineau  (MTL),4338
95312,1026597,H2L 4H2,143.0,rue Berri  (MTL),3905
105752,1041627,H2L 1B7,142.0,avenue Duluth Est  (MTL),941
108398,1017728,H2J 3H8,146.0,rue De La Roche  (MTL),4287
108967,1026894,H2L 3Z8,144.0,rue Saint-Hubert  (MTL),3451
108979,2166134,H2J 3R5,147.0,rue Garnier  (MTL),4282
111119,5005338,H2K 3X5,150.0,avenue De Lorimier  (MTL),3433
112277,1041584,H2J 2J3,142.0,rue Rachel Est  (MTL),996
112493,1097218,H2H 2B1,148.0,avenue De Lorimier  (MTL),4208
112598,1016721,H2L 1B5,142.0,rue Saint-André  (MTL),4064
112743,5254558,H2K 3V8,150.0,avenue des Érables  (MTL),4088
114799,5190437,H2L 1A1,142.0,rue Rachel Est  (MTL),976
118455,5170008,H2H 1S9,147.0,avenue Papineau  (MTL),4298
118499,5005397,H2J 2J6,146.0,rue Rachel Est  (MTL),1157
121556,1022594,H2K 3V8,150.0,avenue des Érables  (MTL),4108
126975,1034517,H2K 4E9,48.0,rue Cartier  (MTL),2283
134454,1031897,H2H 2B1,148.0,avenue De Lorimier  (MTL),4216
136287,5002752,H2L 5A8,49.0,rue de la Visitation  (MTL),2121
136701,5077052,H2J 3N8,147.0,rue De Lanaudière  (MTL),4253
137536,5036605,H2J 3N6,146.0,rue De Lanaudière  (MTL),4228
140544,5079028,H2K 3X6,149.0,avenue De Lorimier  (MTL),3474
141025,5031682,H2L 3G4,50.0,rue Beaudry  (MTL),2083
142652,1118670,H2J 3W8,147.0,rue Marquette  (MTL),4275
145383,1022497,H2K 3X8,150.0,avenue De Lorimier  (MTL),4101
152806,5144299,H2L 4H2,143.0,rue Berri  (MTL),3913
173,2084564,H1G 2V9,611.02,rue de Bayonne  (MTN),4950
300,2074646,H1G 5R7,611.01,avenue Hénault  (MTN),10554
450,2084079,H1G 2Z4,611.02,rue de Charleroi  (MTN),5011
673,2085095,H1G 3B3,611.01,rue Louis-Francoeur  (MTN),5313
1605,2077284,H1G 4Z9,611.02,avenue Edger  (MTN),11177
2047,2074384,H1G 5V6,611.02,avenue Pigeon  (MTN),11181
3082,2074901,H1G 5S7,611.02,avenue Hénault  (MTN),11520
3712,2075169,H1G 3B9,611.01,boulevard Sainte-Gertrude  (MTN),10869
3889,2075181,H1G 5N9,611.01,boulevard Sainte-Gertrude  (MTN),10922
3890,2077362,H1G 5A3,611.02,avenue Edger  (MTN),11393
5423,2075689,H1G 5M2,611.02,avenue Lamoureux  (MTN),11436
5667,2076977,H1G 5B8,611.02,avenue Alfred  (MTN),11325
6919,2075865,H1G 5K2,611.01,avenue Georges-Pichet  (MTN),10585
7363,5011483,H1H 3C5,612.0,avenue Bellevois  (MTN),10441
8531,2083400,H1H 2P2,612.0,rue Forest  (MTN),4637
11044,2073542,H1H 3E2,616.0,avenue Bellevois  (MTN),11126
12199,2075197,H1G 5N9,611.01,boulevard Sainte-Gertrude  (MTN),10970
14916,2075152,H1G 5N7,611.01,boulevard Sainte-Gertrude  (MTN),10833
15505,2074398,H1G 5V6,611.02,avenue Pigeon  (MTN),11213
15772,2072194,H1H 3P5,616.0,avenue Armand-Lavergne  (MTN),10936
16916,2074479,H1G 5V9,611.02,avenue Pigeon  (MTN),11505
17104,2075559,H1G 5L8,611.01,avenue Lamoureux  (MTN),10986
17574,2073105,H1H 3G5,612.0,avenue Éthier  (MTN),10793
20293,2083591,H1H 2H2,612.0,rue d' Amiens  (MTN),4477
23749,2072383,H1H 2P3,612.0,avenue Balzac  (MTN),10440
23791,2073068,H1H 2J1,612.0,avenue Éthier  (MTN),10727
26584,2074876,H1G 5S6,611.02,avenue Hénault  (MTN),11414
27949,2083867,H1G 3C7,611.01,rue de Castille  (MTN),5109
29843,2072491,H1H 3M1,612.0,avenue Balzac  (MTN),10769
30148,2076183,H1G 5H8,611.01,avenue Racette  (MTN),10986
30151,2076601,H1G 5E9,611.02,avenue Brunet  (MTN),11307
30152,2077246,H1G 4Z7,611.01,avenue Edger  (MTN),10757
30156,2077289,H1G 4Z9,611.02,avenue Edger  (MTN),11213
31033,2073817,H1G 3B5,612.0,avenue L'Archevêque  (MTN),10851
32117,2074373,H1G 5V5,616.0,avenue Pigeon  (MTN),11138
32943,2084449,H1H 1R5,616.0,rue d' Amos  (MTN),4814
33477,2073864,H1H 3A6,616.0,avenue L'Archevêque  (MTN),10993
34350,2076883,H1G 5B1,611.01,avenue Alfred  (MTN),10770
35125,2073163,H1H 3G7,616.0,avenue Éthier  (MTN),10924
35452,2083426,H1G 5T7,612.0,rue Forest  (MTN),4850
35693,2075963,H1G 5K8,611.02,avenue Georges-Pichet  (MTN),11437
36789,2073432,H1H 3C6,612.0,avenue Bellevois  (MTN),10573
37173,2073563,H1H 3E2,616.0,avenue Bellevois  (MTN),11176
37583,2075232,H1G 5P1,611.02,boulevard Sainte-Gertrude  (MTN),11117
